"чин"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%87%D0%B8%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14429985-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/grad%C3%AB-n>		"gradë"@als	
"провалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%80%D0%BE%D0%B2%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/02041877-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/prish-v>		"prish"@als	
"сбирка"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%B1%D0%B8%D1%80%D0%BA%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/07951464-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/grup-n>		"grup"@als	
"сбирка"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%B1%D0%B8%D1%80%D0%BA%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/07951464-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/mbledhje-n>		"mbledhje"@als	
"сбирка"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%B1%D0%B8%D1%80%D0%BA%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/07951464-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/koleksion-n>		"koleksion"@als	
"сбирка"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%B1%D0%B8%D1%80%D0%BA%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/07951464-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/akumulim-n>		"akumulim"@als	
"етап"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B5%D1%82%D0%B0%D0%BF-n>		<http://wordnet-rdf.princeton.edu/wn30/15290337-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/faz%C3%AB-n>		"fazë"@als	
"наркотик"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BD%D0%B0%D1%80%D0%BA%D0%BE%D1%82%D0%B8%D0%BA-n>		<http://wordnet-rdf.princeton.edu/wn30/03247620-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/drog%C3%AB-n>		"drogë"@als	
"появя се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D1%8F%D0%B2%D1%8F%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/00422090-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shfaqet-v>		"shfaqet"@als	
"раня"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%80%D0%B0%D0%BD%D1%8F-v>		<http://wordnet-rdf.princeton.edu/wn30/00069879-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/d%C3%ABmtim-v>		"dëmtim"@als	
"раня"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%80%D0%B0%D0%BD%D1%8F-v>		<http://wordnet-rdf.princeton.edu/wn30/00069879-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/l%C3%ABndim-v>		"lëndim"@als	
"решаващ"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%80%D0%B5%D1%88%D0%B0%D0%B2%D0%B0%D1%89-a>		<http://wordnet-rdf.princeton.edu/wn30/01578312-a>		<http://compling.hss.ntu.edu.sg/omw/wns/als/themelor-a>		"themelor"@als	
"решаващ"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%80%D0%B5%D1%88%D0%B0%D0%B2%D0%B0%D1%89-a>		<http://wordnet-rdf.princeton.edu/wn30/01578312-a>		<http://compling.hss.ntu.edu.sg/omw/wns/als/thelb%C3%ABsore-a>		"thelbësore"@als	
"завръщане"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%B0%D0%B2%D1%80%D1%8A%D1%89%D0%B0%D0%BD%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/00328015-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kthim-n>		"kthim"@als	
"завръщане"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%B0%D0%B2%D1%80%D1%8A%D1%89%D0%B0%D0%BD%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/00051192-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kthim%20n%C3%AB%20sht%C3%ABpi-n>		"kthim në shtëpi"@als	
"завръщане"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%B0%D0%B2%D1%80%D1%8A%D1%89%D0%B0%D0%BD%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/00051192-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/kthim-n>		"kthim"@als	
"доставя"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D1%8F-v>		<http://wordnet-rdf.princeton.edu/wn30/01438304-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/furnizoj-v>		"furnizoj"@als	
"доставя"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B4%D0%BE%D1%81%D1%82%D0%B0%D0%B2%D1%8F-v>		<http://wordnet-rdf.princeton.edu/wn30/01438304-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shp%C3%ABrndaj-v>		"shpërndaj"@als	
"спукам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BF%D1%83%D0%BA%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/00309310-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/%C3%A7arje-v>		"çarje"@als	
"спукам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BF%D1%83%D0%BA%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/00309310-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shp%C3%ABrthej-v>		"shpërthej"@als	
"спукам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BF%D1%83%D0%BA%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/00309310-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/p%C3%ABlcitje-v>		"pëlcitje"@als	
"спукам"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BF%D1%83%D0%BA%D0%B0%D0%BC-v>		<http://wordnet-rdf.princeton.edu/wn30/00309310-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/plasje-v>		"plasje"@als	
"пързалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%8A%D1%80%D0%B7%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/01886488-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/rr%C3%ABshqas-v>		"rrëshqas"@als	
"пързалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%8A%D1%80%D0%B7%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/01886488-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shkarje-v>		"shkarje"@als	
"пързалям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D1%8A%D1%80%D0%B7%D0%B0%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/01887576-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/zbritje%20e%20%C3%ABmb%C3%ABl-v>		"zbritje e ëmbël"@als	
"цигара"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%86%D0%B8%D0%B3%D0%B0%D1%80%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/03030663-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/cigare-n>		"cigare"@als	
"военна служба"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B2%D0%BE%D0%B5%D0%BD%D0%BD%D0%B0%20%D1%81%D0%BB%D1%83%D0%B6%D0%B1%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/08198137-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/sh%C3%ABrbim%20ushtarak-n>		"shërbim ushtarak"@als	
